Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.008967841,0.011473785,0.02434102,0.019690801,0.021054379,0.033907399,0.076970086,0.122070965,0.209638854,0.262006759,0.095307058,0.087497597,0.077206265,0.068640119,0.089981411,0.149484752,0.085619317,0.099182176,0.104856399,0.08697643,0.030602261,0.022779461,0.062861254,0.018070271,0.031427066,0.053426013,0.053453697,0.058991629,0.061297661,0.061063376,0.059779203,0.05592341,0.054212823,0.054612441,0.052730473,0.053018587,0.055341875,0.056868246,0.057676611,0.058506891,0.0600284,0.059727279,0.062621184,0.067336948,0.069489881,0.069718612,0.071021982,0.073948643,0.074466786,0.077785612,0.078858613,0.076144606,0.076781802,0.075853031,0.076044744,,,,
Australia,AUS,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.113621083,0.11439726,0.116967011,0.122139792,0.129190805,0.140618499,0.13672349,0.145030776,0.14840042,0.153568366,0.156246896,0.15632933,0.158215933,0.169177745,0.166265141,0.167592002,0.164373733,0.1751641,0.186257064,0.187041196,0.198900132,0.204295748,0.204195549,0.193805721,0.201495569,0.202653034,0.198313121,0.208458536,0.209109979,0.218690269,0.20456555,0.200264313,0.20277692,0.207856127,0.206203154,0.206467022,0.218451157,0.218616272,0.224195073,0.227565498,0.22770201,0.221516646,0.229950381,0.223748464,0.225397344,0.227292977,0.233669557,0.236500662,0.240414028,0.240934365,0.234853654,0.232180007,0.226011447,0.213076955,0.203716786,,,,
Austria,AUT,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.05789408,0.059522923,0.062951571,0.068244556,0.071366216,0.069528681,0.070978616,0.071720105,0.075603787,0.07951185,0.089870364,0.09205258,0.098603612,0.104988973,0.100115135,0.095007213,0.102214059,0.098332847,0.100627109,0.108006969,0.091719341,0.09817528,0.094150449,0.091003088,0.095502762,0.095721027,0.094576448,0.100918981,0.09309016,0.094022359,0.0994605,0.105164101,0.095661059,0.095618445,0.095171627,0.099569978,0.105083509,0.104099391,0.105652691,0.102477239,0.102915803,0.108456048,0.109863858,0.1176802,0.117267192,0.119409182,0.11553214,0.111284339,0.109810643,0.099533374,0.106845801,0.102569954,0.097790272,0.097547632,0.090943446,,,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100855667,0.085578314,0.073144805,0.057418777,0.053302525,0.05034449,0.05299147,0.047389931,0.048534168,0.046956652,0.047973846,0.049221206,0.05114151,0.054167354,0.061110668,0.047065662,0.053632294,0.047202386,0.044853401,0.048268201,0.050633799,0.050106815,0.052046076,,,,
Burundi,BDI,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0.000200365,0.000212881,0.000208529,0.000156877,0.000199045,0.000193983,0.000218212,0.000284389,0.000237202,0.000275036,0.00027198,0.000269304,0.000332817,0.000275453,0.000308961,0.000340045,0.000344172,0.000359474,0.000467071,0.000489247,0.000476602,0.000604432,0.000630289,0.000643731,0.000635762,0.000656632,0.000582297,0.000667732,0.000508737,0.000567006,0.000503747,0.000519091,0.000526669,0.000527029,0.000528685,0.000539188,0.000533659,0.000534459,0.000563147,0.000416586,0.000419972,0.000309145,0.000367566,0.000276833,0.000325418,0.00031489,0.000310638,0.000300593,0.000324536,0.000357641,0.00040427,0.000401975,0.000591739,,,,
Belgium,BEL,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.131607017,0.133755255,0.140868277,0.150740386,0.146328498,0.147493455,0.14617447,0.148494265,0.163167688,0.169651173,0.172229002,0.166314869,0.178351804,0.188714408,0.183174021,0.164923271,0.175293616,0.17044531,0.182778103,0.188499256,0.181669265,0.166528396,0.157885687,0.136511509,0.141606651,0.140289122,0.138092954,0.138299878,0.134169233,0.143149523,0.140848182,0.146822874,0.147557354,0.141316316,0.147009656,0.146692508,0.153876546,0.149971565,0.153586372,0.147908747,0.148658561,0.147388344,0.137483388,0.144057641,0.141134369,0.137084895,0.134379653,0.129001551,0.129096966,0.122446594,0.134650056,0.119861398,0.113355557,0.115032342,0.110248344,,,,
Benin,BEN,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.000878396,0.000689021,0.000717617,0.000629978,0.000732109,0.000756089,0.000561062,0.000692138,0.000730351,0.000936593,0.001283461,0.001304691,0.001690663,0.001621414,0.001690514,0.00179893,0.001029708,0.001145222,0.001363769,0.001341536,0.001841371,0.001486763,0.001656147,0.001489978,0.001599902,0.002303235,0.002061002,0.001573435,0.00156866,0.001732263,0.001881885,0.002111626,0.002230622,0.002716531,0.002930867,0.002975648,0.002748097,0.00256566,0.002483361,0.003103146,0.003082618,0.00339552,0.003772839,0.004143994,0.004284381,0.003971213,0.006238641,0.007039169,0.006714815,0.006897843,0.007324375,0.00740921,0.007444293,0.007690667,0.008130872,,,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.000120624,0.000247947,0.000225088,0.000231721,0.000285614,0.000262659,0.000258587,0.000254393,0.000250132,0.000289779,0.000336594,0.000347748,0.000366672,0.000376532,0.000450072,0.000473248,0.000441023,0.000515864,0.000706138,0.00080765,0.000839558,0.001056334,0.001064698,0.001071271,0.000818599,0.000816611,0.000801852,0.000840862,0.000877196,0.001267371,0.000876,0.000917228,0.000898078,0.000868989,0.000870334,0.000822705,0.000903228,0.001001321,0.00104003,0.001092835,0.001187673,0.001105431,0.00108199,0.0011278,0.001121339,0.001110343,0.001302301,0.001529339,0.001728311,0.001689613,0.001664247,0.001820177,0.00210038,0.002371351,0.002144803,,,,
Bangladesh,BGD,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0.000697275,0.00089139,0.000897544,0.000920074,0.001029108,0.001047348,0.001055803,0.001135187,0.001269681,0.001284132,0.001356277,0.001265687,0.001366001,0.001492723,0.001628414,0.001641448,0.001826332,0.001768771,0.001993096,0.001998312,0.002175811,0.00208823,0.002227447,0.002622556,0.002703849,0.00276128,0.002594906,0.00266858,0.002890014,0.003302834,0.003368216,0.00350344,0.003643628,0.003758916,0.004090296,0.004118353,0.004542063,0.004874847,0.005376564,0.005623682,0.005917861,0.006040781,0.006270289,,,,
Bulgaria,BGR,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.037515239,0.043287266,0.050779611,0.056391063,0.069671537,0.074737251,0.078176287,0.087878861,0.094151634,0.104182325,0.095491453,0.09971608,0.102140015,0.105686394,0.108696823,0.110906506,0.110510275,0.114227779,0.122273359,0.118720307,0.115756403,0.119624458,0.133800309,0.133814358,0.129070181,0.132284663,0.135256817,0.135214906,0.128658241,0.129352156,0.113092544,0.088254667,0.084023529,0.106033841,0.084915552,0.091346656,0.089531917,0.08220611,0.078558714,0.070912339,0.070532623,0.076781394,0.075394055,0.08054501,0.080287157,0.082820784,0.085323448,0.091679048,0.089649028,0.075869655,0.078963466,0.088898339,0.081009485,0.07215642,0.077728566,,,,
