Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,5.542658071,5.717561455,5.903362875,5.420197797,5.938236738,6.177827299,6.527663993,6.676975951,6.934365852,7.646886511,8.057040084,8.525952131,8.504670126,8.730591337,8.728759545,8.535234196,8.835492982,8.791663932,8.820653402,9.371651791,9.064856587,8.37397681,8.35300795,8.361776843,8.3305779,7.742385225,7.894552675,8.571821668,8.920265921,8.470308033,7.995700959,8.2324633,8.416931065,8.073242989,8.274649794,8.544515599,8.90743812,9.000627924,9.016107889,9.373462361,8.965097553,8.342675155,7.696938809,8.246717033,9.521123062,9.693322204,10.38415354,10.26568934,10.97261495,10.33811117,10.7143343,10.80086761,10.71902292,10.46172092,11.11978552,,,,
Armenia,ARM,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.935975739,1.767398241,1.916636294,2.465059263,1.881499737,2.400702295,2.515560652,2.269307093,2.625389537,2.700361636,2.332964442,2.642071797,2.824901869,3.395408325,3.444824637,4.015879168,4.446356769,3.51085817,3.408413535,3.975585671,4.591812763,4.41172113,4.41562645,,,,
American Samoa,ASM,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Antigua and Barbuda,ATG,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,1.57542018,2.015650455,4.276094543,3.459170055,3.698715748,5.956662681,13.52167509,21.44474575,36.82818387,46.02788502,16.74301197,15.37108954,13.56316579,12.05831309,15.80743213,26.26064693,15.04112379,17.42377107,18.420587,15.27953374,5.376034464,4.001768646,11.0431143,3.174484284,5.520931588,9.385583699,9.390447168,10.36332005,10.76843088,10.727273,10.50167664,9.824312486,9.523806088,9.594008792,9.263395174,9.314009367,9.722151798,9.990296023,10.13230508,10.27816413,10.54545432,10.49255508,11.00094009,11.82937916,12.20759438,12.24777655,12.47674531,12.99088488,13.08190936,13.66494213,13.85344092,13.37665935,13.48859845,13.32543706,13.35911618,,,,
Australia,AUS,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,19.96031777,20.09667213,20.54811174,21.456837,22.69551961,24.703073,24.01881962,25.47819721,26.07015746,26.97803337,27.44858265,27.46306412,27.79449199,29.72020197,29.20853193,29.44162746,28.87625995,30.77185149,32.72060143,32.85835344,34.94166514,35.88953683,35.87193444,34.04670728,35.39761697,35.60095396,34.83854222,36.6208321,36.73527391,38.41828585,35.93693412,35.18131677,35.62271745,36.51500419,36.22461925,36.27097399,38.37627998,38.40528653,39.38533918,39.97743648,40.0014182,38.91480799,40.39639948,39.30688127,39.59654732,39.9295615,41.0497635,41.54711637,42.23459455,42.32600456,41.25777919,40.7880878,39.70442949,37.43217017,35.78782795,,,,
Austria,AUT,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,10.1705089,10.45665498,11.05898064,11.98882267,12.53721858,12.21441054,12.46912717,12.59938774,13.28165141,13.96819809,15.78792397,16.17128352,17.32213213,18.44387671,17.58766809,16.69033687,17.95639538,17.27456578,17.67760885,18.9740614,16.11274186,17.24688515,16.53982544,15.98691459,16.77739225,16.8157357,16.61466245,17.72888329,16.35355976,16.51732325,17.47266548,18.47464229,16.805201,16.79771467,16.71922023,17.49189792,18.46048442,18.28759999,18.56047503,18.00262934,18.07967381,19.05295325,19.30026929,20.67340078,20.60084582,20.9771386,20.29604156,19.54981148,19.29092088,17.48546768,18.77007396,18.01891699,17.17924922,17.13662359,15.97643705,,,,
Azerbaijan,AZE,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71776067,15.0339206,12.84967108,10.08701033,9.363890129,8.844238933,9.309245604,8.325198593,8.526211694,8.24908252,8.427777549,8.646906808,8.984254975,9.515818435,10.73558108,8.268232791,9.42182205,8.292251669,7.879595068,8.479488086,8.895063186,8.802485665,9.143164207,,,,
Burundi,BDI,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0.035199032,0.037397713,0.036633234,0.027559349,0.034967084,0.034077886,0.038334253,0.049959852,0.041670404,0.048316794,0.047779859,0.047309897,0.058467492,0.048390125,0.054276523,0.059737132,0.060462221,0.06315044,0.0820524,0.085948267,0.083726737,0.106183277,0.110725604,0.11308705,0.111687078,0.115353443,0.102294665,0.117303395,0.089372043,0.099608504,0.088495429,0.091190997,0.092522309,0.092585598,0.092876494,0.094721555,0.0937502,0.093890847,0.098930534,0.073183587,0.073778381,0.054308806,0.064571901,0.04863256,0.057167703,0.055318166,0.054571203,0.052806465,0.057012597,0.062828349,0.071019867,0.070616797,0.10395347,,,,
Belgium,BEL,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,23.11998622,23.49737673,24.74695263,26.48122963,25.70617376,25.91082687,25.67911495,26.08664361,28.66438867,29.80337118,30.25622979,29.21726785,31.33184943,33.15229396,32.17898964,28.97279976,30.79460415,29.94288074,32.10943706,33.11449724,31.9146425,29.25477923,27.73647624,23.98158005,24.87666601,24.64520988,24.25939933,24.29575066,23.57010198,25.14770917,24.7434225,25.79302297,25.92205236,24.82566173,25.82583582,25.77012105,27.03217267,26.34616749,26.98119663,25.98378313,26.11550628,25.89236166,24.15231419,25.30724227,24.79369819,24.08230927,23.60706744,22.66227254,22.67903444,21.51073415,23.65457027,21.05658142,19.91367151,20.20823975,19.36781372,,,,
Benin,BEN,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.154311775,0.121043326,0.126066987,0.110671072,0.128612867,0.13282557,0.098564297,0.121590875,0.128303975,0.164535483,0.225471215,0.229200758,0.297006157,0.284841008,0.296980018,0.316025911,0.180893367,0.201186177,0.239579354,0.235673503,0.323481708,0.261186305,0.290942654,0.261750944,0.281061854,0.404619542,0.362065259,0.276412267,0.275573451,0.304314343,0.33059905,0.370958643,0.391863167,0.477224983,0.514878305,0.522745239,0.482770409,0.450720762,0.436262998,0.5451433,0.541537136,0.596506037,0.662791243,0.727993649,0.752656176,0.697640477,1.095969655,1.236602002,1.179621166,1.211774579,1.286705254,1.301608598,1.307771907,1.351053393,1.428386255,,,,
